FALTAS LEVES
====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
No.       Licencia       Placa     Cantidad       Monto
5)         58992942       V7O-315        3         948
6)         27864822       S3D-133        3         948
7)         53853385       O5L-856        3         948
8)         16477908       X9D-758        1         316
9)         63291514       Z1A-459        1         316
10)        82870470       C4O-436        2         632
11)        30441350       M9Z-497        4         1264
12)        53853385       R6P-267        2         632
13)        82870470       K0H-387        3         948
14)        53853385       T9X-217        4         1264
15)        88854166       H3E-885        1         316
16)        44188994       M0X-657        2         632
17)        73972114       A2F-518        4         1264
18)        54447051       G3Y-654        2         632
19)        89941095       P6T-244        1         316
20)        47528229       U0N-343        2         632
21)        45043076       S7E-946        4         1264
22)        79641328       L0L-653        1         316
23)        32090869       L4B-291        2         632
24)        70414420       U5T-348        2         632
25)        16925690       R7N-113        4         1264
26)        16925690       B4I-014        1         316
27)        27185429       U3F-754        2         632
28)        67185679       F1F-571        2         632
29)        86429854       M5U-987        3         948
30)        15559308       T8F-368        3         948
31)        90467829       X8U-894        2         632
32)        30046639       S3F-021        3         948
33)        64178096       G3B-505        1         316
34)        29833157       I5K-310        2         632
35)        16925690       F3F-478        2         632
36)        12858682       T5L-371        1         316
37)        75348522       P5B-640        1         316
38)        71578206       Y9F-491        2         632
39)        74325123       V9F-655        3         948
40)        96693273       C0G-556        4         1264
41)        71832810       W1C-444        1         316
42)        44346371       S4J-282        1         316
43)        86718074       Q6I-941        2         632
44)        49927087       G7B-252        2         632
45)        19568447       D8R-235        1         316
46)        30046639       L8F-459        2         632
47)        12270502       P7T-999        2         632
48)        68303148       H1W-140        2         632
49)        54141214       G2I-709        2         632
50)        37080813       P7E-145        2         632
51)        73357516       G0B-604        4         1264
52)        31107104       E0I-722        2         632
53)        39244942       N5Y-450        2         632
54)        86429854       K1F-766        2         632
55)        87282766       S1D-093        4         1264
56)        54665716       D2V-055        2         632
57)        64532449       J0V-437        1         316
58)        60335381       E6T-667        4         1264
59)        73567806       W9Z-281        2         632
60)        73972114       J2M-606        2         632
61)        71578206       G7Z-721        3         948
62)        36079131       I0W-872        1         316
63)        30441350       T7F-869        1         316
64)        24859596       A8P-118        2         632
65)        13628871       F3E-797        3         948
66)        80457845       Z5G-762        2         632
67)        60784914       C6Q-548        2         632
68)        82031355       Z5D-724        2         632
69)        87495937       L2H-207        3         948
70)        66849703       B4N-777        4         1264
71)        73357516       J2K-636        3         948
72)        43454884       P6Z-734        2         632
73)        15559308       X6O-905        2         632
74)        31205866       U6A-456        3         948
75)        42956681       E0L-862        2         632
76)        88854166       L3N-150        2         632
77)        99950484       Y9W-731        2         632
78)        80457845       M7F-612        1         316
79)        35912665       O4X-500        1         316
80)        21621497       R5I-860        2         632
81)        12443643       R8H-409        1         316
82)        73567806       Q9D-870        3         948
83)        99950484       Y6I-680        3         948
84)        34976629       J8B-303        1         316
85)        30441350       Q6Q-335        1         316
86)        13219606       T3B-722        1         316
87)        34248357       R7N-062        1         316
88)        45043076       I1D-713        1         316
89)        75348522       X0D-655        1         316
90)        89314225       C3A-423        3         948
91)        77367073       C2S-070        3         948
92)        88167677       V7U-622        1         316
93)        53374153       V7L-069        2         632
94)        69252518       Y0Y-415        1         316
95)        77367073       W4W-684        2         632
96)        35912665       A6E-125        2         632
97)        13219606       N1O-921        2         632
98)        60335381       B3U-845        1         316
99)        29989682       W3T-571        1         316
100)       15029228       N0Z-560        1         316
101)       34248357       H4R-733        2         632
102)       35912665       O2Z-308        1         316
103)       71832810       T1K-210        2         632
104)       90467829       K4H-445        2         632
105)       38862473       I4B-541        2         632
106)       27185429       S9I-160        1         316
107)       29833157       I9F-484        1         316
108)       79766395       T3R-184        2         632
109)       35671623       P2Q-870        1         316
110)       66849703       J2F-853        2         632
111)       69252518       P7I-760        2         632
112)       48450395       G1P-591        2         632
113)       32244565       J1E-736        4         1264
114)       30046639       P6I-223        1         316
115)       88167677       O0C-616        2         632
116)       28820944       H2K-127        3         948
117)       81799482       E3U-768        1         316
118)       68310808       K2N-341        1         316
119)       54141214       J7Y-327        1         316
120)       67185679       I2P-193        1         316
121)       47528229       G8O-154        1         316
122)       50200823       H1E-399        2         632
123)       49927087       X3E-271        2         632
124)       82031355       H6X-124        1         316
125)       29833157       S2N-896        3         948
126)       97849227       I0K-077        2         632
127)       29989682       B1J-773        2         632
128)       87495937       M5G-669        2         632
129)       63736112       K0D-676        2         632
130)       19963454       D9A-711        1         316
131)       60784914       P4Y-758        2         632
132)       19963454       X9O-440        3         948
133)       77367073       N7K-403        2         632
134)       79641328       X8Q-687        1         316
135)       79672079       R7U-941        3         948
136)       27864822       R5C-239        1         316
137)       85501710       Z4K-431        2         632
138)       52002275       C0S-417        1         316
139)       96693273       F3R-138        2         632
140)       75348522       E1L-705        2         632
141)       15029228       J0Q-121        2         632
142)       12270502       O1C-880        1         316
143)       49927087       M8Q-758        1         316
144)       34248357       U0T-459        2         632
145)       48878256       Z4L-514        1         316
146)       27864822       T9U-338        1         316
147)       54447051       D5W-773        2         632
148)       31107104       O3T-110        2         632
149)       48878256       F2F-895        2         632
150)       77763722       W2L-827        1         316
151)       43454884       G0F-080        1         316
152)       50201756       X8O-807        2         632
153)       81528434       D6F-465        2         632
154)       29989682       W1V-221        2         632
155)       34976629       I0Y-720        3         948
156)       47844324       F1H-328        1         316
157)       50200823       R0P-255        1         316
158)       19568447       O7W-705        1         316
159)       35297848       O7D-970        1         316
160)       82031355       J0J-790        1         316
161)       75945248       K6X-977        1         316
162)       64532449       K8R-348        2         632
163)       88167677       B4C-100        3         948
164)       69494747       J8D-125        2         632
165)       90467829       C9H-661        1         316
166)       90467829       H1R-953        2         632
167)       19963454       H8A-390        1         316
168)       48528209       T9L-709        2         632
169)       54447051       U5L-205        1         316
170)       16136330       E3U-231        2         632
171)       77763722       D1M-667        1         316
172)       73818744       U5N-536        1         316
173)       38862473       S6Y-726        2         632
174)       25518120       U1X-768        1         316
175)       73567806       A7Y-833        1         316
176)       16477908       W7C-957        1         316
177)       73972114       D8H-157        1         316
178)       79672079       Y3Q-331        3         948
179)       87495937       Z8C-558        2         632
180)       50201756       K5K-595        1         316
181)       89941095       R8O-904        1         316
182)       32244565       K4F-319        1         316
183)       47528229       T8Y-354        1         316
184)       52003695       H8S-849        3         948
185)       86718074       L4O-783        1         316
186)       64178096       I0X-469        1         316
187)       45043076       R1T-735        1         316
188)       67185679       S7F-983        2         632
189)       80310768       O2F-523        1         316
190)       26522329       W7R-114        2         632
191)       34248357       S5E-231        1         316
192)       53374153       R2T-476        1         316
193)       96693273       B9X-420        1         316
194)       79766395       N6D-256        1         316
195)       48450395       Q5S-871        1         316
196)       32244565       M8W-853        2         632
197)       80457845       W0C-131        1         316
198)       68310808       I3A-223        1         316
199)       15559308       S3L-803        1         316
200)       49428502       C0A-114        2         632
201)       13219606       M2Q-712        1         316
202)       84186239       T6W-978        1         316
203)       35683701       D5W-953        1         316
204)       79672079       O3H-954        1         316
205)       48878256       G2R-979        1         316
206)       35671623       V4E-749        2         632
207)       96693273       A6K-820        1         316
208)       37080813       O9W-355        1         316
209)       26522329       U5W-825        1         316
210)       32244565       W9L-468        1         316
211)       77763722       A1Q-612        1         316
212)       39544560       Y0K-784        1         316
213)       64532449       X3Z-285        1         316
214)       54141214       Y9G-536        1         316
215)       85501710       N2C-590        1         316
********************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
FALTAS MUY GRAVES
====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
No.       Licencia       Placa     Cantidad       Monto
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1)         24859596       A8P-118        1         474
2)        99950484       Y9W-731        1         0
3)       52002275       J8N-930        1         711
4)      16925690       R7N-113        2         1422
5)     71578206       Y9F-491        3         948
6)    34248357       H4R-733        3         1422
7)   29989682       W3T-571        2         948
8)  69252518       P7I-760        2         2923
9) 29833157       I5K-310        3         1896
10)77367073       C2S-070        2         2449
11)         50200823       Q6C-943        1         474
12)        80457845       Z5G-762        1         474
13)       88167677       Y4Y-028        5         2370
14)      15029228       J0Q-121        2         948
15)     16477908       I0E-459        2         474
16)    32244565       J1E-736        3         1422
17)   50201756       K5K-595        1         474
18)  67185679       S7F-983        4         1896
19) 86429854       K1F-766        3         1422
20)42956681       L8Z-555        1         474
21)         84186239       T6W-978        2         948
22)        70414420       U5T-348        3         4898
23)       53374153       G6I-762        2         6399
24)      13219606       T3B-722        2         948
25)     13219606       M2Q-712        2         948
26)    87495937       M5G-669        1         3950
27)   89941095       R8O-904        3         1185
28)  48528209       T9L-709        2         5925
29) 81799482       V7P-711        1         0
30)88167677       O0C-616        1         0
31)         79641328       X8Q-687        2         0
32)        73567806       Q9D-870        2         2449
33)       25518120       E1J-798        1         0
34)      34248357       U0T-459        1         711
35)     27185429       U3F-754        1         0
36)    35683701       D5W-953        1         474
37)   97849227       I0K-077        4         7347
38)  88854166       L3N-150        1         474
39) 48450395       Q5S-871        1         0
40)54447051       G3Y-654        1         474
41)         89941095       P6N-119        1         474
42)        19963454       X9O-440        2         1422
43)       81528434       D6F-465        1         474
44)      79766395       H7P-047        1         474
45)     50200823       R0P-255        1         948
46)    64178096       I0X-469        2         1185
47)   36079131       V4S-057        1         474
48)  74325123       H0E-855        1         948
49) 80310768       O2F-523        1         474
50)79672079       Y3Q-331        1         474
51)         35671623       K0T-350        1         948
52)        82031355       Z5D-724        2         2449
53)       19963454       D9A-711        2         948
54)      81485316       J5T-691        2         948
55)     34976629       I0Y-720        1         711
56)    48450395       G1P-591        1         474
57)   81528434       B3U-020        1         948
58)  29989682       B1J-773        3         1422
59) 64178096       G3B-505        2         1422
60)60784914       P4Y-758        2         1896
61)         44188994       R2L-600        2         4898
62)        24859596       B8B-326        1         474
63)       19963454       H8A-390        1         474
64)      34976629       J8B-303        2         948
65)     73357516       P1T-781        1         474
66)    79766395       N6D-256        3         2923
67)   35671623       V4E-749        2         2449
68)  77367073       H9A-097        1         474
69) 29833157       I9F-484        1         1975
70)88854166       O0K-148        1         474
71)         12858682       T5L-371        3         1896
72)        30441350       X0F-315        2         948
73)       35912665       O4X-500        2         6399
74)      30441350       M9Z-497        1         474
75)     45043076       R1T-735        3         1422
76)    77763722       A1Q-612        2         474
77)   21621497       D6W-048        1         711
78)  66849703       B4N-777        1         474
79) 73567806       W9Z-281        2         6399
80)54141214       G2I-709        2         474
81)         87282766       S1D-093        2         948
82)        73567806       A7Y-833        1         474
83)       71578206       G7Z-721        4         1896
84)      85501710       Z4K-431        1         474
85)     90467829       K4H-445        1         474
86)    26522329       W7R-114        2         0
87)   54447051       D5W-773        1         5925
88)  68310808       W8F-397        1         474
89) 63736112       K0D-676        1         3950
90)30046639       L8F-459        2         948
91)         24859596       L6D-758        1         474
92)        48878256       G2R-979        1         474
93)       47528229       G8O-154        1         474
94)      96693273       F3R-138        1         1975
95)     86718074       L4O-783        2         4898
96)    89314225       C3A-423        1         5925
97)   15559308       X6O-905        1         948
98)  77763722       Q4P-612        1         948
99) 34248357       S5E-231        1         474
100)88167677       B4C-100        1         474
101)         37080813       O9W-355        1         0
102)        58992942       H8M-598        1         474
103)       53853385       O5L-856        2         1896
104)      34248357       R7N-062        1         474
105)     85501710       N2C-590        1         711
106)    64532449       V4I-691        2         4424
107)   39544560       N4J-043        2         948
108)  64178096       B7V-643        1         474
109) 54141214       J7Y-327        1         474
110)32244565       K4F-319        2         948
111)         73818744       U5N-536        2         948
112)        60784914       C6G-842        1         948
113)       48450395       H6H-085        1         474
114)      13628871       F3E-797        2         3950
115)     37080813       P7E-145        1         474
116)    89941095       P6T-244        1         474
117)   86429854       M5U-987        1         5925
118)  12270502       Y5F-449        1         474
119) 39544560       Y0K-784        2         6399
120)77763722       W2L-827        1         948
121)         43454884       P6Z-734        1         474
122)        54141214       Y9G-536        1         474
123)       35297848       O7D-970        1         474
124)      96693273       C0G-556        1         474
125)     58992942       V7O-315        1         474
126)    73567806       E2D-493        1         948
127)   53853385       T9X-217        1         1975
128)  82870470       K0H-387        1         474
129) 99950484       X0R-946        1         474
130)15559308       S3L-803        1         1975
131)         87495937       L2H-207        1         474
132)        49927087       M8Q-758        2         4424
133)       28820944       H2K-127        1         474
134)      77367073       N7K-403        1         474
135)     32090869       L4B-291        1         474
136)    38862473       S6Y-726        1         474
137)   90467829       H1R-953        1         474
138)  38862473       K3B-165        1         474
139) 12270502       O1C-880        1         474
140)68310808       I3A-223        1         0
141)         73972114       J2M-606        2         948
142)        25518120       U1X-768        1         474
143)       12443643       R8H-409        1         474
144)      42956681       A6D-661        1         474
145)     79641328       B4R-105        1         474
146)    80310768       N5J-515        1         474
147)   48878256       W6Z-142        1         474
148)  35912665       O2Z-308        1         474
149) 16136330       E3U-231        1         474
150)99950484       L8A-167        1         474
********************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
